"Title","Start","End","Duration"
"Estadia no Hotel Village Premium","01/06/2019 00:00","01/26/2019 00:00","480:00"
"Voo para São Paulo (G3 1271)","01/06/2019 11:15","01/06/2019 12:35","01:20"
"149469 - AEREA - Caxias do Sul (CXJ) - Congonhas (CGH)","01/06/2019 11:15","01/06/2019 12:35","01:20"
"Voo para João Pessoa (G3 1536)","01/06/2019 13:25","01/06/2019 16:40","03:15"
"149469 - AEREA - Congonhas (CGH) - Joao Pessoa (JPA)","01/06/2019 13:25","01/06/2019 15:40","02:15"
"","","Total:","488:10"
